HP3Name,BrierleyName
Oropouche_virus,Oropouche_orthobunyavirus
Ovine_astrovirus,
Palyam_virus,
Pampa_virus,
Parainfluenza_virus_5,
Parana_virus,
Patois_virus,Patois_orthobunyavirus
Peruvian_horse_sickness_virus,
Peste-des-petits-ruminants_virus,
Phnom_Penh_bat_virus,
Phocine_distemper_virus,
Pichinde_virus,Pichindé_mammarenavirus
Pirital_virus,
Piry_virus,Piry_vesiculovirus
Poliovirus,
Porcine_astrovirus,
Porcine_enteric_sapovirus,
Porcine_enterovirus_A,
Porcine_enterovirus_B,
Porcine_epidemic_diarrhea_virus,
Porcine_hemagglutinating_encephalomyelitis_virus,
Porcine_reproductive_and_respiratory_syndrome_virus,
Porcine_rubulavirus,
Porcine_teschovirus,
Porcine_torovirus,
Porcine_type-C_oncovirus,
Prospect_Hill_virus,
Puma_lentivirus,
Punta_Toro_virus,Punta_Toro_phlebovirus
Puumala_virus,Puumala_orthohantavirus
Qalyub_virus,
Quaranfil_virus,
Rabbit_coronavirus,
Rabbit_hemorrhagic_disease_virus,
Rabies_virus,Rabies_lyssavirus
Rat_coronavirus,
Rift_Valley_fever_virus,Rift_Valley_fever_phlebovirus
Rinderpest_virus,
Rio_Mamore_virus,
Rio_Segundo_virus,
Rotavirus_E,
Sabia_virus,Sabiá_mammarenavirus
Saboya_virus,
Sal_Vieja_virus,
Salehabad_virus,
Salem_virus,
San_Perlita_virus,
Sandfly_fever_Naples_virus,Sandfly_fever_Naples_phlebovirus
Sandfly_fever_Sicilian_virus,
Sathuperi_virus,
Sendai_virus,
Seoul_virus,Seoul_orthohantavirus
Sepik_virus,
Shamonda_virus,
Shuni_virus,
Simbu_virus,
Simian_enterovirus_A,
Simian_hemorrhagic_fever_virus,
Simian_virus_10,
Simian_virus_5,
Sin_Nombre_virus,Sin_Nombre_orthohantavirus
Southern_elephant_seal_virus,
Squirrel_monkey_retrovirus,
Swine_norovirus,
Tacaiuma_virus,
Tacaribe_virus,
Tamana_bat_virus,
Tamdy_virus,
Tamiami_virus,
Tataguine_virus,
Thailand_virus,Thailand_orthohantavirus
Theilovirus,
Thiafora_virus,Thiafora_orthonairovirus
Thottapalayam_virus,Thottapalayam_orthohantavirus
Tioman_virus,Tioman_rubulavirus
Topografov_virus,
Transmissible_gastroenteritis_virus,
Trubanaman_virus,
Tula_virus,Tula_orthohantavirus
Tupaia_paramyxovirus,
Turlock_virus,
Upolu_virus,
Uukuniemi_virus,Uukuniemi_phlebovirus
Vesicular_stomatitis_Alagoas_virus,Alagoas_vesiculovirus
Vesicular_stomatitis_Indiana_virus,Indiana_vesiculovirus
Vesicular_stomatitis_New_Jersey_virus,New_Jersey_vesiculovirus
Visna/maedi_virus,
Wad_Medani_virus,
Wallal_virus,
Walrus_calicivirus,
Wanowrie_virus,
Warrego_virus,
West_Caucasian_bat_virus,
Whitewater_Arroyo_virus,Whitewater_Arroyo_mammarenavirus
Witwatersrand_virus,
Wongorr_virus,
Woolly_monkey_sarcoma_virus,
Wyeomyia_virus,Wyeomyia_orthobunyavirus
Yogue_virus,
Yokose_virus,
Zegla_virus,
