HP3Name,BrierleyName
Adelaide_River_virus,
African_horse_sickness_virus,
Aichi_virus,Aichivirus_A
Akabane_virus,
Allpaahuayo_virus,
Amapari_virus,
Andes_virus,Andes_orthohantavirus
Anopheles_A_virus,
Anopheles_B_virus,
Apoi_virus,
Araguari_virus,
Aravan_virus,
Arumowot_virus,
Aura_virus,
Baboon_orthoreovirus,
Bakau_virus,
Bangui_virus,
Barur_virus,
Bayou_virus,Bayou_orthohantavirus
Bear_Canyon_virus,
Bebaru_virus,
Berrimah_virus,
Bhanja_virus,
Bimiti_virus,
Bivens_Arm_virus,
Black_Creek_Canal_virus,Black_creek_canal_orthohantavirus
Bluetongue_virus,
Border_disease_virus,
Borna_disease_virus,
Bouboui_virus,
Bovine_astrovirus,
Bovine_coronavirus,
Bovine_enteric_calicivirus_strain_NB,
Bovine_ephemeral_fever_virus,
Bovine_foamy_virus,
Bovine_immunodeficiency_virus,
Bovine_leukemia_virus,
Bovine_norovirus-CH126,
Bovine_norovirus-Jena,
Bovine_parainfluenza_virus_3,
Bovine_respiratory_syncytial_virus,
Bovine_torovirus,
Bovine_viral_diarrhea_virus_2,
Bujaru_virus,
Bukalasa_bat_virus,
Bunyamwera_virus,Bunyamwera_orthobunyavirus
Bwamba_virus,Bwamba_orthobunyavirus
Cabassou_virus,
California_encephalitis_virus,California_encephalitis_orthobunyavirus
Candiru_virus,Candiru_phlebovirus
Canine_calicivirus,
Canine_coronavirus,
Canine_distemper_virus,Canine_morbillivirus
Cano_Delgadito_virus,
Caprine_arthritis_encephalitis_virus,
Caraparu_virus,Caraparu_orthobunyavirus
Carey_Island_virus,
Catu_virus,Catu_orthobunyavirus
Cetacean_morbillivirus_virus,
Chagres_virus,
Chandipura_virus,Chandipura_vesiculovirus
Changuinola_virus,
Chobar_Gorge_virus,
Classical_swine_fever_virus,
Cocal_virus,Cocal_vesiculovirus
Cote_d'Ivoire_ebolavirus,
Cowbone_Ridge_virus,
Crimean-Congo_hemorrhagic_fever_virus,Crimean-Congo_haemorrhagic_fever_orthonairovirus
Cupixi_virus,
Dakar_bat_virus,
Dera_Ghazi_Khan_virus,
Dobrava-Belgrade_virus,Dobrava-Belgrade_orthohantavirus
Dugbe_virus,Dugbe_orthonairovirus
Duvenhage_virus,Duvenhage_lyssavirus
El_Moro_Canyon_virus,
Encephalomyocarditis_virus,
Entebbe_bat_virus,
Epizootic_hemorrhagic_disease_virus,
Equine_arteritis_virus,
Equine_encephalosis_virus,
Equine_foamy_virus,
Equine_infectious_anemia_virus,
Equine_rhinitis_B_virus,
Equine_torovirus,
Eubenangee_virus,
European_bat_lyssavirus_1,European_bat_1_lyssavirus
European_bat_lyssavirus_2,European_bat_2_lyssavirus
European_brown_hare_syndrome_virus,
Feline_astrovirus,
Feline_calicivirus,
Feline_coronavirus,
Feline_foamy_virus,
Feline_immunodeficiency_virus,
Feline_leukemia_virus,
Flexal_virus,
Gan_Gan_virus,
GB_virus_A,
GB_virus_B,
GB_virus_C,
Gibbon_ape_leukemia_virus,
Guama_virus,Guama_orthobunyavirus
Guanarito_virus,Guanarito_mammarenavirus
Guaroa_virus,Guaroa_orthobunyavirus
Guinea_pig_type-C_oncovirus,
Hantaan_virus,Hantaan_orthohantavirus
Hendra_virus,Hendra_henipavirus
Hepatitis_A_virus,Hepatovirus_A
Hepatitis_C_virus,Hepacivirus_C
Hepatitis_E_virus,
Human_astrovirus,
Human_coronavirus_OC43,
Human_enterovirus_A,
Human_enterovirus_B,
Human_enterovirus_C,
Human_enterovirus_D,
Human_norovirus-Alphatron,
Human_parainfluenza_virus_1,Human_respirovirus_1
Human_parainfluenza_virus_2,Human_rubulavirus_2
Human_parainfluenza_virus_3,Human_respirovirus_3
Human_parainfluenza_virus_4,Human_rubulavirus_4
Human_parechovirus,
Human_respiratory_syncytial_virus,Human_orthopneumovirus
Human_rhinovirus_A,
Human_rhinovirus_B,
Ife_virus,
Influenza_C_virus,Influenza_C_virus_
Ippy_virus,
Irkut_virus,Irkut_lyssavirus
Isfahan_virus,Isfahan_vesiculovirus
Isla_Vista_virus,
Issyk-Kul_virus,
Itaporanga_virus,
Jaagsiekte_sheep_retrovirus,
Japanaut_virus,
Jugra_virus,
Junin_virus,Junín_mammarenavirus
Jurona_virus,
Jutiapa_virus,
Kaeng_Khoi_virus,
Kairi_virus,Kairi_orthobunyavirus
Kasokero_virus,
Kern_Canyon_virus,
Keuraliba_virus,
Khabarovsk_virus,
Khujand_virus,
Koongol_virus,
Kotonkan_virus,
Koutango_virus,
Kyasanur_Forest_disease_virus,Kyasanur_forest_disease_virus
Lactate_dehydrogenase-elevating_virus,
Lagos_bat_virus,
Laguna_Negra_virus,Laguna_Negra_orthohantavirus
Lake_Victoria_marburgvirus,
Langur_virus,
Lassa_virus,Lassa_mammarenavirus
Latino_virus,
Ljungan_virus,
Lymphocytic_choriomeningitis_virus,Lymphocytic_choriomeningitis_mammarenavirus
Machupo_virus,Machupo_mammarenavirus
Madrid_virus,Madrid_orthobunyavirus
Main_Drain_virus,
Manzanilla_virus,
Mapuera_virus,
Maraba_virus,
Marituba_virus,
Mason-Pfizer_monkey_virus,
Measles_virus,Measles_morbillivirus
Menangle_virus,
Middelburg_virus,
Minatitlan_virus,
Mink_astrovirus,
Mink_calicivirus,
Mink_enteric_sapovirus,
Mobala_virus,Mobala_mammarenavirus
Modoc_virus,
Mokola_virus,Mokola_lyssavirus
Moloney_murine_sarcoma_virus,
Montana_myotis_leukoencephalitis_virus,
Mopeia_virus,
Mosso_das_Pedras_virus_78V3531,Mosso_das_Pedras_virus
Mount_Elgon_bat_virus,
Mouse_mammary_tumor_virus,
Muleshoe_virus,
Mumps_virus,Mumps_rubulavirus
Murine_hepatitis_virus,
Murine_leukemia_virus,
Murine_norovirus_1,
Murine_pneumonia_virus,
Nariva_virus,
New_York_virus,
Newcastle_disease_virus,
Nipah_virus,Nipah_henipavirus
Nyando_virus,Nyando_orthobunyavirus
Oita_virus,
Okola_virus,
Oliveros_virus,
Oriboca_virus,Oriboca_orthobunyavirus
