"","x"
"1","Carollia_brevicauda"
"2","Catopuma_temminckii"
"3","Cercopithecus_denti"
"4","Cercopithecus_lowei"
"5","Cercopithecus_roloway"
"6","Chaerephon_aloysiisabaudiae"
"7","Chaerephon_ansorgei"
"8","Chaerephon_bivittatus"
"9","Chaerephon_chapini"
"10","Chaerephon_jobensis"
"11","Chaerephon_major"
"12","Chaerephon_nigeriae"
"13","Chaerephon_plicatus"
"14","Chaerephon_pumilus"
"15","Chaerephon_russatus"
"16","Epomophorus_minor"
"17","Hydrictis_maculicollis"
"18","Hypsugo_savii"
"19","Lycalopex_culpaeus"
"20","Lycalopex_fulvipes"
"21","Lycalopex_griseus"
"22","Lycalopex_gymnocercus"
"23","Lycalopex_sechurae"
"24","Lycalopex_vetulus"
"25","Micaelamys_granti"
"26","Micaelamys_namaquensis"
"27","Miniopterus_macrocneme"
"28","Mops_brachypterus"
"29","Mops_condylurus"
"30","Mops_congicus"
"31","Mops_demonstrator"
"32","Mops_leucostigma"
"33","Mops_midas"
"34","Mops_mops"
"35","Mops_nanulus"
"36","Mops_niveiventer"
"37","Mops_petersoni"
"38","Mops_sarasinorum"
"39","Mops_spurrelli"
"40","Mops_thersites"
"41","Mops_trevori"
"42","Neoromicia_capensis"
"43","Neoromicia_guineensis"
"44","Neoromicia_helios"
"45","Neoromicia_melckorum"
"46","Neoromicia_rendalli"
"47","Neoromicia_tenuipinnis"
"48","Neoromicia_zuluensis"
"49","Piliocolobus_badius"
"50","Piliocolobus_gordonorum"
"51","Piliocolobus_kirkii"
"52","Piliocolobus_rufomitratus"
"53","Piliocolobus_tephrosceles"
"54","Piliocolobus_tholloni"
"55","Rhinolophus_hildebrandtii"
"56","Vulpes_lagopus"
